time,emotion,confidence
1774631199.5438604,sad,0.29
1774631199.926783,sad,0.42
1774631200.2500355,sad,0.37
1774631200.5650177,neutral,0.42
1774631200.8674176,neutral,0.51
1774631201.1529493,neutral,0.42
1774631201.4193394,neutral,0.53
1774631201.6737285,neutral,0.79
1774631201.9287295,neutral,0.56
1774631202.17272,neutral,0.67
1774631202.4288106,neutral,0.52
1774631202.6774917,neutral,0.7
1774631202.9292414,neutral,0.58
1774631203.1736999,neutral,0.49
1774631203.4217513,neutral,0.49
1774631203.681633,sad,0.5
1774631203.9448886,neutral,0.47
1774631204.1843226,sad,0.62
1774631204.4773927,neutral,0.53
1774631204.4784827,neutral,0.33
1774631204.757952,neutral,0.62
1774631205.0160968,neutral,0.76
1774631205.279061,neutral,0.74
1774631205.5291169,neutral,0.78
1774631205.7737498,neutral,0.72
1774631206.0229897,neutral,0.64
1774631206.2854435,neutral,0.51
1774631206.5274546,neutral,0.6
1774631206.7904382,neutral,0.73
1774631207.0346637,neutral,0.72
1774631207.274812,neutral,0.7
1774631207.525064,angry,0.34
1774631207.770735,neutral,0.44
1774631208.0064566,neutral,0.5
1774631208.2483726,neutral,0.6
1774631208.4917057,neutral,0.67
1774631208.7326133,neutral,0.57
1774631208.986969,neutral,0.43
1774631209.2456355,neutral,0.55
1774631209.5018237,neutral,0.38
1774631209.7519412,fear,0.41
1774631209.9791176,neutral,0.58
1774631210.248342,neutral,0.64
1774631210.5223389,neutral,0.73
1774631210.7878842,neutral,0.75
1774631211.0408173,neutral,0.54
1774631211.2985995,neutral,0.56
1774631211.5470395,neutral,0.41
1774631211.7967532,sad,0.43
1774631212.0564275,sad,0.59
1774631212.3146775,sad,0.77
1774631212.565544,sad,0.84
1774631212.8179932,sad,0.66
1774631213.068293,sad,0.76
1774631213.3139968,neutral,0.5
1774631213.577482,neutral,0.7
1774631213.8369067,neutral,0.6
1774631214.0933843,neutral,0.84
1774631214.344181,neutral,0.52
1774631214.5861464,neutral,0.55
1774631214.8311136,neutral,0.55
1774631215.072783,neutral,0.8
1774631215.334746,neutral,0.75
1774631215.5934603,neutral,0.45
1774631215.813707,neutral,0.61
1774631216.0247626,neutral,0.63
1774631216.2318292,neutral,0.59
1774631216.443521,neutral,0.44
1774631216.6510482,sad,0.41
1774631216.8634682,neutral,0.53
1774631217.0733123,neutral,0.66
1774631217.2871716,neutral,0.66
1774631217.496311,neutral,0.6
1774631217.7091255,neutral,0.55
1774631217.9546466,neutral,0.54
1774631218.1958766,neutral,0.57
1774631218.4392605,angry,0.39
1774631218.6890574,surprise,0.43
1774631219.0148346,happy,0.76
1774631219.281803,happy,0.7
1774631219.556256,happy,0.81
1774631219.8289409,happy,0.82
1774631220.1006138,happy,0.88
1774631220.3480854,happy,0.96
1774631220.610626,happy,0.93
1774631220.930652,happy,0.96
1774631221.2310898,happy,0.96
1774631221.4938447,happy,0.94
1774631221.7475924,happy,0.87
1774631222.0209646,happy,0.94
1774631222.2848563,happy,0.87
1774631222.5552013,happy,0.96
1774631222.858802,happy,0.51
1774631223.137725,neutral,0.65
1774631223.4126253,neutral,0.64
1774631223.7266247,neutral,0.68
1774631223.9990482,neutral,0.69
1774631224.2741745,neutral,0.77
1774631224.5481024,neutral,0.73
1774631224.823719,neutral,0.72
1774631225.0907562,neutral,0.32
1774631225.3540232,neutral,0.66
1774631225.6246393,neutral,0.41
1774631225.8836255,neutral,0.57
1774631226.1495614,neutral,0.44
1774631226.4130127,neutral,0.48
1774631226.67086,sad,0.6
1774631226.9206803,sad,0.47
1774631227.1826684,sad,0.53
1774631227.4461803,sad,0.4
1774631227.7151437,fear,0.77
1774631227.9797964,fear,0.71
1774631228.2473295,fear,0.71
1774631228.4971473,fear,0.58
1774631228.7421653,surprise,0.67
1774631228.9949775,surprise,0.82
1774631229.2426805,surprise,0.9
1774631229.4848387,surprise,0.93
1774631229.728381,surprise,0.91
1774631229.9769835,surprise,0.84
1774631230.2295146,surprise,0.6
1774631230.4839857,fear,0.33
1774631230.7310588,neutral,0.69
1774631230.9835837,neutral,0.76
1774631231.2310102,neutral,0.62
1774631231.4707334,neutral,0.57
1774631231.7216783,neutral,0.68
1774631231.9753861,sad,0.43
1774631232.2300258,sad,0.47
1774631232.4742978,sad,0.4
1774631232.7185647,happy,0.72
1774631232.9586592,happy,0.57
1774631233.2051735,happy,0.41
1774631233.4559348,happy,0.62
1774631233.7002764,happy,0.45
1774631233.9490757,sad,0.4
1774631234.2026212,sad,0.45
1774631234.4479537,happy,0.59
1774631234.6977174,happy,0.5
1774631234.9541469,happy,0.9
1774631235.2037046,happy,0.96
1774631235.454197,happy,0.92
1774631235.6886423,happy,0.99
1774631235.9381096,happy,0.96
1774631236.215764,neutral,0.59
1774631236.54085,neutral,0.7
1774631236.8087637,neutral,0.5
1774631237.0776942,neutral,0.59
1774631237.323966,happy,0.45
1774631237.5696123,neutral,0.41
1774631237.8190215,sad,0.5
1774631238.0815969,neutral,0.38
1774631238.3258522,sad,0.36
1774631238.5743434,sad,0.49
1774631238.8122666,neutral,0.4
1774631239.0541291,neutral,0.48
